ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,937717,950,,950,Samoa,0.00,4.16,0,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:10Z,0,0,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,,,,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
1,937717,25212,D'Angelo Leuila,950,Samoa,0.00,4.16,0,1,50,35,91,40,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,753,Kicked Right,0,,0,,0,,0,,0,,0,,40,41,6,0,1899-12-30T00:00:10Z,1,0,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,10,10,Fly Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
2,937717,20156,Sonatane Takulua,750,Tonga,4.16,4.16,4,1,9,28,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:15Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
3,937717,0,,750,Tonga,4.16,4.16,4,1,9,28,0,0,45,Defensive Exits,629,Carried out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:15Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,,,,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
4,937717,20156,Sonatane Takulua,750,Tonga,4.16,6.64,4,1,9,28,15,26,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,503,3 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,5,5,3,0,1899-12-30T00:00:15Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
5,937717,25212,D'Angelo Leuila,950,Samoa,5.40,5.40,5,1,88,42,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:16Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,10,10,Fly Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
6,937717,25212,D'Angelo Leuila,950,Samoa,5.40,5.40,5,1,88,42,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:16Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,10,10,Fly Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
7,937717,20156,Sonatane Takulua,750,Tonga,5.44,5.44,5,1,12,26,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:16Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
8,937717,27662,Sama Malolo,950,Samoa,6.16,6.16,6,1,85,42,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:17Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,02,2,Hooker,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
9,937717,20766,Chris Vui,950,Samoa,6.32,6.32,6,1,85,42,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,710,3rd Tackler,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:17Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,05,5,Lock (5),0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
10,937717,20156,Sonatane Takulua,750,Tonga,6.64,15.56,6,1,15,26,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,558,6+ Seconds,664,Close Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,1,4,1899-12-30T00:00:17Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
11,937717,11292,Steve Mafi,750,Tonga,7.92,7.92,8,1,15,26,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:09Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,05,5,Lock (5),0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
12,937717,28270,Tanginoa Halaifonua,750,Tonga,8.00,8.00,8,1,15,26,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:09Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
13,937717,19128,George Moala,750,Tonga,10.04,10.04,10,1,15,26,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:11Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,13,13,Outside Centre,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
14,937717,20766,Chris Vui,950,Samoa,12.56,12.56,12,1,85,42,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:14Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,05,5,Lock (5),0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
15,937717,27662,Sama Malolo,950,Samoa,12.88,12.88,12,1,85,42,0,0,43,Ruck OOA,577,Not Clearing,584,Own Team 2nd Entry,604,OOA Entry 2nd Entry- Def,633,Defensive OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:14Z,1,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,02,2,Hooker,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
16,937717,39118,William Havili,750,Tonga,15.56,15.56,15,1,14,26,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:26Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,10,10,Fly Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
17,937717,39118,William Havili,750,Tonga,15.56,15.56,15,1,14,26,0,0,47,Playmaker Options,672,Acting Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:26Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,10,10,Fly Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
18,937717,39118,William Havili,750,Tonga,16.04,16.64,16,1,14,26,11,31,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,5,6,3,0,1899-12-30T00:00:26Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,10,10,Fly Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
19,937717,18807,Ben Tameifuna,750,Tonga,16.64,16.64,16,1,11,31,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:27Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,03,3,Tighthead Prop,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
20,937717,18807,Ben Tameifuna,750,Tonga,16.64,16.64,16,1,11,31,0,0,47,Playmaker Options,656,First Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:27Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,03,3,Tighthead Prop,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
21,937717,18807,Ben Tameifuna,750,Tonga,16.64,19.24,16,1,11,31,15,30,1,Carry,101,One Out Drive,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,501,1 Tacklers Committed,701,1st Receiver,0,,0,,0,,0,,1,4,1,1,1899-12-30T00:00:27Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,03,3,Tighthead Prop,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
22,937717,10081,Charlie Faumuina,950,Samoa,17.44,17.44,17,1,86,37,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:28Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,01,1,Loosehead Prop,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
23,937717,20806,Brian Alainu'uese,950,Samoa,19.12,19.12,19,1,86,37,0,0,40,Defensive Action,560,Tackle Arrival,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:30Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,04,4,Lock (4),0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
24,937717,18807,Ben Tameifuna,750,Tonga,19.24,22.08,19,1,15,30,0,0,23,Ruck,0,,401,Won Outright,548,Over Previous Gainline,554,2-3 Seconds,668,Tight Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,1,1899-12-30T00:00:30Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,03,3,Tighthead Prop,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
25,937717,21155,Vaea Fifita,750,Tonga,19.28,19.28,19,1,15,30,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:27Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,08,8,Number 8,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
26,937717,26114,Leva Fifita,750,Tonga,20.48,20.48,20,1,15,30,0,0,43,Ruck OOA,572,Cleaned Out,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:28Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,04,4,Lock (4),0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
27,937717,11292,Steve Mafi,750,Tonga,21.00,21.00,21,1,15,30,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:29Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,05,5,Lock (5),0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
28,937717,35331,Siua Maile,750,Tonga,21.44,21.44,21,1,15,30,0,0,43,Ruck OOA,574,Secured,586,Own Team 4th Entry,591,OOA Entry 4th Entry- Att,632,Attacking OOA,0,4,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:29Z,2,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,02,2,Hooker,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
29,937717,20156,Sonatane Takulua,750,Tonga,22.08,22.08,22,1,14,29,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:32Z,3,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
30,937717,20156,Sonatane Takulua,750,Tonga,22.08,22.08,22,1,14,29,0,0,47,Playmaker Options,671,Halfback at Breakdown,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:32Z,3,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
31,937717,20156,Sonatane Takulua,750,Tonga,23.04,25.52,23,1,12,31,51,62,4,Kick,346,Box,205,Pressure Error,186,Kick in Play (Own 22),0,,0,,0,,0,,0,,0,,0,,39,50,0,0,1899-12-30T00:00:33Z,3,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
32,937717,25212,D'Angelo Leuila,950,Samoa,25.52,25.52,25,1,49,6,0,0,18,Collection,273,Defensive Catch,278,Fail,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:36Z,3,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,10,10,Fly Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
33,937717,25212,D'Angelo Leuila,950,Samoa,32.76,32.76,32,1,45,5,0,0,8,Turnover,254,Dropped Ball Unforced,678,Error on Defence,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:00:43Z,3,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,10,10,Fly Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
34,937717,0,,950,Samoa,0.00,34.20,34,1,50,35,45,5,26,Sequences,307,50m Restart,317,Scrum,0,,0,,0,,0,,0,,0,,0,,0,,-5,0,0,0,1899-12-30T00:00:10Z,3,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,,,,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
35,937717,0,,750,Tonga,4.16,34.20,34,1,9,28,55,63,15,Possession,307,50m Restart,317,Scrum,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,46,0,0,0,1899-12-30T00:00:15Z,3,1,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,,,,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
36,937717,20156,Sonatane Takulua,750,Tonga,121.84,130.32,201,1,51,54,0,0,5,Scrum,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,723,Mid Right Blindside Movement Maul,0,,0,,0,,0,,0,,0,0,2,11,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,09,9,Scrum Half,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
37,937717,22136,Siegfried Fisi'ihoi,750,Tonga,121.84,130.32,201,1,51,54,0,0,28,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,01,1,Loosehead Prop,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
38,937717,35331,Siua Maile,750,Tonga,121.84,130.32,201,1,51,54,0,0,28,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,02,2,Hooker,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
39,937717,18807,Ben Tameifuna,750,Tonga,121.84,130.32,201,1,51,54,0,0,28,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,03,3,Tighthead Prop,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
40,937717,26114,Leva Fifita,750,Tonga,121.84,130.32,201,1,51,54,0,0,28,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,04,4,Lock (4),0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
41,937717,11292,Steve Mafi,750,Tonga,121.84,130.32,201,1,51,54,0,0,28,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,05,5,Lock (5),0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
42,937717,28270,Tanginoa Halaifonua,750,Tonga,121.84,130.32,201,1,51,54,0,0,28,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
43,937717,29249,Sione Havili Talitui,750,Tonga,121.84,130.32,201,1,51,54,0,0,28,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,07,7,Openside Flanker,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
44,937717,21155,Vaea Fifita,750,Tonga,121.84,130.32,201,1,51,54,0,0,28,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,08,8,Number 8,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,N,L
45,937717,10081,Charlie Faumuina,950,Samoa,121.84,130.32,201,1,51,54,0,0,29,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,01,1,Loosehead Prop,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
46,937717,27662,Sama Malolo,950,Samoa,121.84,130.32,201,1,51,54,0,0,29,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,02,2,Hooker,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
47,937717,21998,Michael Alaalatoa,950,Samoa,121.84,130.32,201,1,51,54,0,0,29,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,03,3,Tighthead Prop,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
48,937717,20806,Brian Alainu'uese,950,Samoa,121.84,130.32,201,1,51,54,0,0,29,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,04,4,Lock (4),0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
49,937717,20766,Chris Vui,950,Samoa,121.84,130.32,201,1,51,54,0,0,29,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,05,5,Lock (5),0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
50,937717,43727,Miracle Faiilagi,950,Samoa,121.84,130.32,201,1,51,54,0,0,29,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,06,6,Blindside Flanker,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
51,937717,10607,Jack Lam,950,Samoa,121.84,130.32,201,1,51,54,0,0,29,,367,Scrum Half Pass,353,Won Outright,366,Negative,362,Anti-Clockwise,0,,0,,0,,0,,0,,0,,0,0,0,0,1899-12-30T00:02:12Z,1,2,0,0,0,950,Samoa,750,Tonga,05/08/2023,15:00,13,9,34,9,0,0,70,Apia Park,-1,NA,1,2023,07,7,Openside Flanker,0,,0,,271,Angus Gardner,1000642,Damon Murphy,1000613,Matthew Kellahan,-1,,3,International,Y,W
