ID,FXID,PLID,playerName,team_id,teamName,ps_timestamp,ps_endstamp,MatchTime,period,x_coord,y_coord,x_coord_end,y_coord_end,action,actionName,ActionType,ActionTypeName,Actionresult,ActionResultName,qualifier3,qualifier3Name,qualifier4,qualifier4Name,qualifier5,qualifier5Name,qualifier6,qualifier6Name,qualifier7,qualifier7Name,qualifier8,qualifier8Name,qualifier9,qualifier9Name,qualifier10,qualifier10Name,Metres,Metres2,Metres3,Metres4,UTCTime,PlayNum,SetNum,sequence_id,player_advantage,score_advantage,homeTeamID,homeTeamName,awayTeamID,awayTeamName,datePlayed,kickofftime,hometeamHTscore,awayteamHTscore,hometeamFTscore,awayteamFTscore,hometeamCurrentScore,awayteamCurrentScore,venueID,venueName,cityID,cityName,roundNumber,season,playerShirtNumber,playerpositionID,playerpositionName,homecoachID,homecoachName,awaycoachID,awaycoachName,refereeID,refereeName,assistantreferee1ID,assistantreferee1Name,assistantreferee2ID,assistantreferee2Name,videoReferee1ID,videoreferee1Name,competitionID,competitionName,isHome,result
0,936536,600,,600,Ireland,0.00,4.04,0,1,50,35,0,0,17,,407,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:00Z,0,0,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,,,,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
1,936536,33837,Paolo Garbisi,952,Italy,0.00,4.04,0,1,50,35,83,13,14,Restart,281,50m Restart,286,Restart Opp Collection,288,Long,752,Kicked Left,0,,0,,0,,0,,0,,0,,33,40,23,0,2024-02-11T15:02:00Z,1,0,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,10,10,Fly Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
2,936536,21638,Stuart McCloskey,600,Ireland,4.04,4.04,4,1,17,55,0,0,18,Collection,275,Restart Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:04Z,1,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,12,12,Inside Centre,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
3,936536,0,,600,Ireland,4.04,4.04,4,1,17,55,0,0,45,Defensive Exits,630,Kicked out of 22,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:04Z,1,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,,,,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
4,936536,21638,Stuart McCloskey,600,Ireland,4.04,6.80,4,1,17,55,21,51,1,Carry,105,Restart Return,108,Tackled Neutral,109,Crossed Gain line,461,Neutral Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,4,4,1,1,2024-02-11T15:02:04Z,1,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,12,12,Inside Centre,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
5,936536,27368,Michele Lamaro,952,Italy,6.28,6.28,6,1,80,16,0,0,2,Tackle,142,Chase,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:07Z,1,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,08,8,Number 8,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
6,936536,27864,Niccolo Cannone,952,Italy,6.40,6.40,6,1,80,16,0,0,2,Tackle,142,Chase,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:07Z,1,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,04,4,Lock (4),0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
7,936536,21638,Stuart McCloskey,600,Ireland,6.80,8.60,6,1,21,51,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,553,1-2 Seconds,661,Mid Left Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-3,21,2024-02-11T15:02:07Z,1,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,12,12,Inside Centre,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
8,936536,24778,Caelan Doris,600,Ireland,7.52,7.52,7,1,21,51,0,0,43,Ruck OOA,575,Attended,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:06Z,1,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,07,7,Openside Flanker,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
9,936536,36697,Joe McCarthy,600,Ireland,8.16,8.16,8,1,21,51,0,0,43,Ruck OOA,574,Secured,584,Own Team 2nd Entry,589,OOA Entry 2nd Entry- Att,632,Attacking OOA,0,2,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:07Z,1,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,04,4,Lock (4),0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
10,936536,18676,Finlay Bealham,600,Ireland,8.52,8.52,8,1,21,51,0,0,43,Ruck OOA,574,Secured,585,Own Team 3rd Entry,590,OOA Entry 3rd Entry- Att,632,Attacking OOA,0,3,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:07Z,1,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,03,3,Tighthead Prop,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
11,936536,33852,Craig Casey,600,Ireland,8.60,8.60,8,1,21,51,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:09Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
12,936536,33852,Craig Casey,600,Ireland,8.60,8.60,8,1,21,51,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:09Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
13,936536,33852,Craig Casey,600,Ireland,9.84,10.40,9,1,21,51,11,37,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,700,0th Receiver,0,,0,,0,,0,,0,,14,17,9,0,2024-02-11T15:02:10Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
14,936536,33614,Jack Crowley,600,Ireland,10.40,10.40,10,1,11,37,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:11Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,10,10,Fly Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
15,936536,33614,Jack Crowley,600,Ireland,10.40,10.40,10,1,11,37,0,0,47,Playmaker Options,656,First Receiver,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:11Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,10,10,Fly Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
16,936536,33614,Jack Crowley,600,Ireland,10.44,10.52,10,1,13,37,11,31,3,Pass,169,Complete,0,,686,Medium Pass,681,Left Pass,701,1st Receiver,0,,0,,0,,0,,0,,7,7,2,0,2024-02-11T15:02:11Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,10,10,Fly Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
17,936536,31014,Dan Sheehan,600,Ireland,10.52,10.52,10,1,11,31,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:11Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,02,2,Hooker,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
18,936536,31014,Dan Sheehan,600,Ireland,10.52,10.52,10,1,11,31,0,0,47,Playmaker Options,657,Second Receiver,673,Playmaker Option - Carry,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:11Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,02,2,Hooker,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
19,936536,31014,Dan Sheehan,600,Ireland,10.52,12.96,10,1,11,31,18,31,1,Carry,103,Other Carry,108,Tackled Neutral,111,Failed Gain line,461,Neutral Contact,502,2 Tacklers Committed,702,2nd Receiver,0,,0,,0,,0,,0,7,3,3,2024-02-11T15:02:11Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,02,2,Hooker,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
20,936536,33828,Gianmarco Lucchesi,952,Italy,11.40,11.40,11,1,85,37,0,0,2,Tackle,144,Line,153,Complete,0,,474,Neutral Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:12Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,02,2,Hooker,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
21,936536,23299,Andrew Porter,600,Ireland,12.52,12.52,12,1,15,31,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:13Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,01,1,Loosehead Prop,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
22,936536,33863,Ryan Baird,600,Ireland,12.64,12.64,12,1,15,31,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:13Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,06,6,Blindside Flanker,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
23,936536,21537,Federico Ruzza,952,Italy,12.80,12.80,12,1,85,37,0,0,2,Tackle,144,Line,153,Complete,441,Assist,474,Neutral Tackle,709,2nd Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:13Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,05,5,Lock (5),0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
24,936536,31014,Dan Sheehan,600,Ireland,12.96,14.60,13,1,18,31,0,0,23,Ruck,0,,401,Won Outright,549,Behind Previous Gainline,553,1-2 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-14,11,2024-02-11T15:02:13Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,02,2,Hooker,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
25,936536,23932,James Ryan,600,Ireland,13.72,13.72,13,1,18,31,0,0,43,Ruck OOA,574,Secured,583,Own Team 1st Entry,588,OOA Entry 1st Entry- Att,632,Attacking OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:12Z,2,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,05,5,Lock (5),0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
26,936536,33852,Craig Casey,600,Ireland,14.60,14.60,14,1,17,31,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:15Z,3,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
27,936536,33852,Craig Casey,600,Ireland,14.60,14.60,14,1,17,31,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:15Z,3,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
28,936536,33852,Craig Casey,600,Ireland,15.76,17.08,15,1,17,31,4,33,3,Pass,169,Complete,0,,679,Short Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,2,14,14,0,2024-02-11T15:02:16Z,3,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
29,936536,20076,James Lowe,600,Ireland,17.08,17.08,17,1,4,33,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:17Z,3,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,11,11,Left Wing,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
30,936536,20076,James Lowe,600,Ireland,17.08,17.08,17,1,4,33,0,0,47,Playmaker Options,656,First Receiver,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:17Z,3,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,11,11,Left Wing,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
31,936536,20076,James Lowe,600,Ireland,17.12,19.20,17,1,4,33,3,38,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,701,1st Receiver,0,,0,,0,,0,,0,,6,6,2,0,2024-02-11T15:02:17Z,3,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,11,11,Left Wing,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
32,936536,33614,Jack Crowley,600,Ireland,19.20,19.20,19,1,3,38,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:19Z,3,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,10,10,Fly Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
33,936536,33614,Jack Crowley,600,Ireland,19.20,19.20,19,1,3,38,0,0,47,Playmaker Options,657,Second Receiver,674,Playmaker Option - Kick,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:19Z,3,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,10,10,Fly Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
34,936536,33614,Jack Crowley,600,Ireland,19.24,23.48,19,1,4,41,51,64,4,Kick,190,Territorial,198,Caught Full,186,Kick in Play (Own 22),0,,0,,0,,0,,0,,0,,0,,47,53,0,0,2024-02-11T15:02:20Z,3,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,10,10,Fly Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
35,936536,0,,600,Ireland,4.04,23.48,23,1,17,55,51,64,15,Possession,307,50m Restart,351,Kick in Play,0,,684,Fails to enter into Opposition 22,0,,0,,0,,0,,0,,0,,34,0,0,0,2024-02-11T15:02:04Z,3,1,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,,,,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
36,936536,34627,Ange Capuozzo,952,Italy,23.48,23.48,23,1,49,4,0,0,18,Collection,273,Defensive Catch,277,Success,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:24Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,15,15,Full Back,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
37,936536,34627,Ange Capuozzo,952,Italy,23.48,23.48,23,1,49,4,0,0,44,Counter Attack,619,Outcome - Kick To Opposition,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:24Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,15,15,Full Back,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
38,936536,34627,Ange Capuozzo,952,Italy,23.48,30.20,23,1,49,4,65,20,1,Carry,104,Kick Return,107,Tackled Dominant,109,Crossed Gain line,460,Dominant Contact,502,2 Tacklers Committed,700,0th Receiver,0,,0,,0,,0,,16,16,5,4,2024-02-11T15:02:24Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,15,15,Full Back,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
39,936536,24778,Caelan Doris,600,Ireland,27.20,27.20,27,1,40,48,0,0,2,Tackle,142,Chase,161,Missed,0,,475,Ineffective Tackle,708,1st Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:27Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,07,7,Openside Flanker,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
40,936536,24778,Caelan Doris,600,Ireland,27.20,27.20,27,1,40,48,0,0,12,Missed Tackle,163,Stepped,166,Tackled,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:27Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,07,7,Openside Flanker,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
41,936536,34627,Ange Capuozzo,952,Italy,27.52,27.52,27,1,60,20,0,0,10,Attacking Qualities,116,Defender Beaten,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:28Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,15,15,Full Back,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
42,936536,18676,Finlay Bealham,600,Ireland,28.36,28.36,28,1,39,49,0,0,2,Tackle,142,Chase,160,Passive,441,Assist,475,Ineffective Tackle,709,2nd Tackler,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:29Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,03,3,Tighthead Prop,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
43,936536,27370,Danilo Fischetti,952,Italy,29.12,29.12,29,1,61,19,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:30Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,01,1,Loosehead Prop,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
44,936536,27864,Niccolo Cannone,952,Italy,29.16,29.16,29,1,61,19,0,0,10,Attacking Qualities,529,Snake,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:30Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,04,4,Lock (4),0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
45,936536,34627,Ange Capuozzo,952,Italy,30.20,31.04,30,1,65,20,0,0,23,Ruck,0,,401,Won Outright,551,N/A Gainline,552,0-1 Seconds,662,Mid Right Open Movement Ruck,0,,0,,0,,0,,0,,0,0,-2,13,2024-02-11T15:02:30Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,15,15,Full Back,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
46,936536,24778,Caelan Doris,600,Ireland,30.28,30.28,30,1,35,48,0,0,43,Ruck OOA,577,Not Clearing,583,Own Team 1st Entry,603,OOA Entry 1st Entry- Def,633,Defensive OOA,0,1,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:29Z,1,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,07,7,Openside Flanker,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,Y,W
47,936536,35522,Stephen Varney,952,Italy,31.04,31.04,31,1,64,20,0,0,18,Collection,631,General Catch,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:31Z,2,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
48,936536,35522,Stephen Varney,952,Italy,31.04,31.04,31,1,64,20,0,0,47,Playmaker Options,671,Halfback at Breakdown,675,Playmaker Option - Pass,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,2024-02-11T15:02:31Z,2,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
49,936536,35522,Stephen Varney,952,Italy,32.24,33.20,32,1,64,20,60,33,3,Pass,169,Complete,0,,686,Medium Pass,682,Right Pass,700,0th Receiver,0,,0,,0,,0,,0,,13,14,5,0,2024-02-11T15:02:33Z,2,2,0,0,0,600,Ireland,952,Italy,11/02/2024,15:00,19,0,36,0,0,0,117,Aviva Stadium,-1,NA,2,2024,09,9,Scrum Half,0,,0,,1000335,Luke Pearce,241,Mathieu Raynal,1000565,Luc Ramos,191,Eric Gauzins,209,Six Nations,N,L
